"laufnummer","id_modulgruppe","semester"
"M-SLS-MSc BP1","136",
"M-SLS-MSc BP2","136",
"M-SLS-MSc C2","135",
"M-SLS-MSc C2","137",
"M-SLS-MSc E6","138",
"M-SLS-MSc 0110","135",
"M-SLS-MSc 0130","135",
"M-SLS-MSc 0150","136",
"M-SLS-MSc 0210","136",
"M-SLS-MSc 0210","138",
"B-LS-CB 003","97",
"B-LS-CB 005","105",
"B-LS-MI 007","106",
"B-LS-CB 007","91",
"B-LS-KT 016","132","5"
"B-LS-KT 002a","100",
"B-LS-CH 007","67",
"B-LS-CB 003","84",
"B-LS-CB 001","126",
"B-LS-CB 006","105",
"B-LS-CB 010","127",
"B-LS-CH 040","67",
"B-LS-MI 001","106","3"
"B-LS-CB 002a","126",
"B-LS-MI 001","115",
"B-LS-MI 002a","83",
"B-LS-CB 014","105",
"B-LS-CB 001","97",
"B-LS-CB 001","84",
"B-LS-CH 007","105",
"B-LS-CB 004","97",
"B-LS-CH 020","105",
"B-LS-KT 036a","132",
"B-LS-CB 025","133",
"B-LS-CH 041","67",
"B-LS-KT 026","107",
"B-LS-CB 012","91",
"B-LS-CH 007","97",
"B-LS-PT 013","152",
"B-LS-MI 003","67",
"B-LS-KT 008","90",
"B-LS-CB 026","133",
"B-LS-KT 004","90",
"B-LS-KT 012","77",
"B-LS-KT 017","108",
"B-LS-KT 029a","107",
"B-LS-KT 029a","100",
"B-LS-MT 028","153",
"B-LS-MT 029","66",
"B-LS-KT 036a","114",
"B-LS-MT 030","58",
"M-SLS-MSc F1","136",
"M-SLS-MSc F2","136",
"M-SLS-MSc F3","136",
"B-LS-MI 001a","126",
"B-LS-KT 016a","114",
"B-LS-KT 016a","60",
"B-LS-MI 025","154",
"B-LS-CB 028","127",
"B-LS-KT 012","56",
"M-SLS-MSc F4","136",
"B-LS-KT 033","57",
"B-LS-KT 036a","108","3"
"B-LS-KT 028","101",
"B-LS-MI 026","154",
"B-LS-CB 010","94",
"B-LS-MT 007","141",
"B-LS-KT 039","123",
"B-LS-CH 026","128",
"B-LS-KT 033","113","4"
"B-LS-PT 005","85",
"B-LS-KT 036","96",
"B-LS-MI 002","126","3"
"B-LS-MI 005","67",
"B-LS-KT 025","81",
"B-LS-MI 007","67",
"B-LS-KT 014","96",
"B-LS-KT 023","161",
"B-LS-CH 005","144",
"B-LS-KT 036a","80","3"
"B-LS-CB 022","128",
"B-LS-KT 016a","108","4"
"B-LS-KT 014a","60",
"B-LS-CH 005","89",
"B-LS-CB 019","125",
"B-LS-KT 013","89",
"B-LS-CB 001","68",
"B-LS-KT 009","131",
"B-LS-CH 004","89",
"B-LS-PT 026","88",
"B-LS-CH 006","89",
"B-LS-CB 012","125",
"B-LS-KT 014a","70",
"B-LS-CH 017","144",
"B-LS-MI 006","151",
"B-LS-MI 020","67",
"B-LS-CB 003","105",
"B-LS-MT 006","125",
"B-LS-PT 004","104",
"B-LS-PT 005","104",
"B-LS-PT 013","104",
"B-LS-MI 002a","106","4"
"M-SLS-MSc E2","138",
"M-SLS-MSc E4","138",
"B-LS-KT 007","89",
"B-LS-CB 004","105",
"B-LS-MI 003","106",
"B-LS-CH 046","82",
"B-LS-MT 018","68",
"B-LS-MT 026","66",
"B-LS-KT 033","69",
"B-LS-KT 028","90",
"B-LS-KT 029a","113",
"B-LS-PT 017","87",
"B-LS-CB 019","91",
"B-LS-KT 002a","113",
"B-LS-MT 027","153",
"M-SMI-MSc 020","157",
"M-SMI-MSc 030","157",
"B-LS-CB 006","128",
