id_modulvoraussetzung,laufnummer,voraussetzung_laufnummer,bemerkung,ziel1,ziel2,ziel3,ziel4,ziel5
172,B-LS-BZ 005,B-LS-CH 001,,t,f,f,f,f
173,B-LS-BZ 005,B-LS-BZ 022,,f,f,t,f,t
177,B-LS-BZ 004,B-LS-BZ 014,,t,f,t,f,f
223,B-LS-BZ 027,B-LS-PT 005,,t,t,t,t,t
26,B-LS-MT 002,B-LS-KT 027,,t,t,t,t,t
224,B-LS-MI 016,B-LS-MI 007,,t,t,t,t,t
225,B-LS-BZ 022,B-LS-CH 001,,t,t,t,t,t
36,B-LS-PT 004,B-LS-BZ 043,,t,t,t,f,f
226,B-LS-PT 004,B-LS-BZ 001,,f,f,t,t,f
227,B-LS-MI 009,B-LS-MI 001,,t,t,t,t,t
228,B-LS-MI 009,B-LS-MI 006,,t,t,t,t,t
229,B-LS-BZ 026,B-LS-BZ 009,,t,t,t,t,t
231,B-LS-BZ 026,B-LS-BZ 014,,t,t,t,t,t
232,B-LS-KT 017,B-LS-KT 016,,t,t,t,t,t
233,B-LS-BZ 018,B-LS-BZ 009,,t,t,t,t,t
234,B-LS-MI 018,B-LS-MI 007,,t,t,t,t,t
235,B-LS-MI 018,B-LS-MI 021,,t,t,t,t,t
236,B-LS-BZ 028,B-LS-CH 001,,f,f,f,f,t
237,B-LS-BZ 028,B-LS-BZ 005,,t,t,t,t,t
238,B-LS-BZ 028,B-LS-CH 005,,t,t,f,f,f
239,B-LS-BZ 028,B-LS-BZ 022,,t,t,t,t,t
154,B-LS-KT 008,B-LS-KT 039,alle Studienrichtungen,t,t,t,t,t
155,B-LS-KT 008,B-LS-KT 027,"Studienrichtungen: MI, MT, CB, PT",t,t,t,t,t
158,B-LS-KT 008,B-LS-KT 023,"Studienrichtungen: MI, MT, CB, PT",t,t,t,t,t
111,B-LS-PT 014a,B-LS-PT 012,,f,t,t,f,f
84,B-LS-CB 002a,B-LS-CB 001,,t,f,f,t,t
240,B-LS-BZ 028,B-LS-BZ 018,,t,t,t,f,f
241,B-LS-BZ 028,B-LS-UT 005,,t,f,f,f,f
242,B-LS-BZ 028,B-LS-BZ 010,,t,t,t,t,t
243,B-LS-BZ 033,B-LS-BZ 007,,t,t,t,t,t
244,B-LS-BZ 033,B-LS-BZ 014,,t,t,t,t,t
245,B-LS-BZ 033,B-LS-KT 036,,t,t,t,t,f
248,B-LS-CH 018,B-LS-CH 017,,t,t,f,f,f
249,B-LS-CH 018,B-LS-CH 022,,t,t,t,t,t
250,B-LS-MT 012,B-LS-KT 027,,t,t,t,t,t
251,B-LS-MT 012,B-LS-KT 013,,t,t,t,f,f
252,B-LS-MT 012,B-LS-MT 002,,t,t,t,t,t
253,B-LS-MT 012,B-LS-MT 030,,t,t,t,t,t
254,B-LS-MI 017,B-LS-MI 014,,t,t,t,t,t
255,B-LS-MI 019,B-LS-MI 022,,t,t,t,t,t
256,B-LS-MI 019,B-LS-MI 007,,t,t,t,t,t
257,B-LS-MI 019,B-LS-MI 021,,t,t,t,t,t
258,B-LS-MT 014,B-LS-KT 027,,t,t,t,t,t
259,B-LS-MT 014,B-LS-KT 013,,t,t,t,t,f
260,B-LS-MT 014,B-LS-MT 002,,t,t,t,t,t
261,B-LS-MT 014,B-LS-MT 030,,t,t,t,t,t
262,B-LS-MT 018,B-LS-KT 027,,t,t,t,t,t
263,B-LS-MT 018,B-LS-KT 013,,t,t,t,t,f
264,B-LS-MT 018,B-LS-MT 002,,t,t,t,t,t
265,B-LS-MT 018,B-LS-MT 030,,t,t,t,t,t
35,B-LS-MT 019,B-LS-MT 002,,t,f,f,f,f
82,B-LS-MT 019,B-LS-MT 017,,t,t,f,t,f
266,B-LS-CB 010,B-LS-MT 007,,f,t,f,f,f
267,B-LS-CB 010,B-LS-CB 031,,f,f,t,f,f
268,B-LS-CB 010,B-LS-CB 019,,f,t,f,f,f
269,B-LS-CB 010,B-LS-CB 022,,f,t,f,f,f
270,B-LS-CB 010,B-LS-CB 024,,f,f,t,f,f
271,B-LS-MI 008,B-LS-MI 001,,t,t,t,t,t
272,B-LS-CB 011,B-LS-MT 007,,t,f,f,f,f
273,B-LS-CB 011,B-LS-CB 019,,t,f,t,f,f
274,B-LS-CB 011,B-LS-CB 024,,t,t,f,f,f
306,B-LS-CH 023,B-LS-CH 008,,t,t,t,t,t
276,B-LS-CH 016,B-LS-CH 007,1: äquivalent zu Statistik und Computeranwendungen LO 1 und Erweiterte mathematische Grundlagen - Analysis und induktive Statistik LO 3 / 2: äquivalent zu Erweiterte mathematische Grundlagen - Analysis und induktive Statistik LO 4,t,t,f,f,f
275,B-LS-CH 016,B-LS-KT 007,3: äquivalent zu Erweiterte mathematische Grundlagen - Analysis und induktive Statistik LO 1,f,t,t,f,f
307,B-LS-CH 023,B-LS-CH 009,,t,t,t,t,t
277,B-LS-CH 016,B-LS-CH 037,1: äquivalent zu Statistik und Computeranwendungen LO 3,t,f,t,f,f
279,B-LS-MT 017,B-LS-KT 012,,t,t,t,t,t
280,B-LS-PT 006,B-LS-PT 001,,t,t,t,t,t
281,B-LS-PT 006,B-LS-PT 002,,t,t,t,t,t
282,B-LS-PT 006,B-LS-CH 005,,t,t,t,t,t
283,B-LS-PT 006,B-LS-PT 009,,t,t,t,t,t
284,B-LS-PT 006,B-LS-PT 012,,t,t,t,t,t
285,B-LS-PT 006,B-LS-PT 003,,t,t,t,t,t
286,B-LS-PT 006,B-LS-CH 046,,t,t,t,t,t
288,B-LS-UT 004,B-LS-CH 001,,f,t,f,f,f
289,B-LS-UT 004,B-LS-UT 008,,t,t,t,t,t
290,B-LS-UT 004,B-LS-BZ 009,,t,t,t,t,t
291,B-LS-UT 004,B-LS-UT 019,,t,t,t,t,t
292,B-LS-UT 006,B-LS-UT 001,,t,t,t,t,t
293,B-LS-UT 006,B-LS-KT 007,,t,t,t,t,t
295,B-LS-UT 006,B-LS-UT 020,,t,t,t,t,t
296,B-LS-UT 007,B-LS-UT 027,,t,t,t,t,t
298,B-LS-UT 007,B-LS-UT 013,,t,t,t,t,t
301,B-LS-MI 022,B-LS-MI 007,,t,t,t,t,t
302,B-LS-MI 022,B-LS-MI 021,,t,t,t,t,t
303,B-LS-CH 024,B-LS-CH 003,,t,t,t,t,t
304,B-LS-CH 024,B-LS-CH 008,,t,t,t,t,t
305,B-LS-CH 024,B-LS-CH 009,,t,t,t,t,t
308,B-LS-CH 023,B-LS-CH 024,,t,t,t,t,t
309,B-LS-PT 007,B-LS-BZ 001,,t,t,t,t,t
310,B-LS-PT 007,B-LS-PT 008,,t,f,f,t,t
311,B-LS-PT 007,B-LS-PT 019,,t,t,t,t,t
312,B-LS-PT 007,B-LS-PT 021,,t,t,t,t,t
313,B-LS-CH 025,B-LS-CH 017,,f,t,f,f,f
314,B-LS-CH 025,B-LS-CH 018,,t,t,t,t,t
315,B-LS-PT 010,B-LS-BZ 043,,t,t,t,f,f
316,B-LS-PT 010,B-LS-PT 008,,f,f,t,f,f
317,B-LS-PT 010,B-LS-PT 004,,t,t,t,t,t
318,B-LS-PT 010,B-LS-PT 005,,t,t,t,t,t
12,B-LS-CH 010,B-LS-KT 039,,f,f,t,t,f
319,B-LS-CH 010,B-LS-KT 012,,t,f,f,t,f
320,B-LS-CH 026,B-LS-CH 001,,t,f,t,f,f
321,B-LS-CH 026,B-LS-KT 039,,t,t,t,f,t
322,B-LS-CH 026,B-LS-CH 011,,t,t,t,t,t
323,B-LS-CH 041,B-LS-CH 017,,t,t,f,f,f
324,B-LS-CH 041,B-LS-CH 022,,t,t,f,f,f
325,B-LS-CH 041,B-LS-CH 009,,t,t,t,t,t
326,B-LS-CH 041,B-LS-CH 011,,t,f,f,t,f
327,B-LS-CH 041,B-LS-CH 036,,t,t,t,t,t
328,B-LS-CH 041,B-LS-CH 002,,t,t,t,t,t
329,B-LS-CH 028,B-LS-CH 022,,f,f,t,f,f
330,B-LS-CH 028,B-LS-CH 027,,t,t,t,t,t
331,B-LS-CH 028,B-LS-CH 036,,f,f,t,f,f
332,B-LS-CH 029,B-LS-CH 018,,t,t,t,t,t
333,B-LS-CH 029,B-LS-CH 028,,t,t,t,t,t
334,B-LS-CH 030,B-LS-CH 018,,t,t,t,t,t
335,B-LS-CH 030,B-LS-CH 028,,t,t,t,t,t
336,B-LS-CH 031,B-LS-CH 016,,t,t,t,t,t
337,B-LS-BZ 008,B-LS-BZ 019,,t,f,f,f,f
338,B-LS-BZ 008,B-LS-CH 001,,f,t,f,t,t
339,B-LS-BZ 008,B-LS-BZ 022,,f,t,t,t,f
340,B-LS-BZ 008,B-LS-CH 004,,t,t,t,t,t
341,B-LS-BZ 008,B-LS-CH 007,,t,t,f,f,f
342,B-LS-BZ 045,B-LS-BZ 019,,t,f,f,f,f
343,B-LS-BZ 045,B-LS-CH 001,,f,t,f,t,t
344,B-LS-BZ 045,B-LS-BZ 022,,f,t,t,t,f
345,B-LS-BZ 045,B-LS-CH 004,,t,t,t,t,t
346,B-LS-BZ 045,B-LS-CH 007,,t,t,f,f,f
347,B-LS-BZ 006,B-LS-BZ 005,,t,f,f,f,f
348,B-LS-BZ 006,B-LS-BZ 034,,t,t,t,t,t
349,B-LS-BZ 044,B-LS-BZ 005,,t,f,f,f,f
350,B-LS-BZ 044,B-LS-BZ 034,,t,t,t,t,t
351,B-LS-BZ 016,B-LS-BZ 005,,t,f,f,f,f
352,B-LS-BZ 016,B-LS-BZ 014,,t,f,t,f,f
353,B-LS-CB 020,B-LS-MT 011,,t,t,t,t,t
355,B-LS-BZ 040,B-LS-BZ 014,,t,f,t,f,f
356,B-LS-BZ 040,B-LS-MI 007,,f,f,t,f,f
357,B-LS-PT 003,B-LS-CH 001,,t,t,f,t,f
358,B-LS-PT 003,B-LS-PT 008,,t,t,t,t,t
359,B-LS-CB 007,B-LS-CH 012,,t,t,t,t,t
360,B-LS-CB 007,B-LS-CH 013,,t,t,t,t,t
361,B-LS-CB 007,B-LS-CH 026,,t,t,t,t,t
362,B-LS-CB 007,B-LS-CB 013,,t,t,t,t,t
363,B-LS-CB 008,B-LS-CH 012,,t,t,t,t,t
365,B-LS-CB 008,B-LS-CH 026,,t,t,t,t,t
366,B-LS-CB 008,B-LS-CB 007,,t,t,t,t,t
