id_modulvoraussetzung,laufnummer,voraussetzung_laufnummer,bemerkung,ziel1,ziel2,ziel3,ziel4,ziel5
474,B-LS-MI 024,B-LS-MI 021,,t,t,t,t,t
475,B-LS-UT 032,B-LS-UT 001,,t,t,t,t,t
476,B-LS-UT 032,B-LS-UT 020,,t,t,t,t,t
484,B-LS-MI 021,B-LS-MI 005,,t,t,t,t,t
485,B-LS-MI 021,B-LS-MI 001,,t,t,t,t,t
486,B-LS-MI 021,B-LS-MI 006,,t,t,t,t,t
487,B-LS-CH 036,B-LS-KT 012,,f,f,f,f,t
488,B-LS-CH 037,B-LS-CH 007,,t,t,t,f,f
68,B-LS-PT 005,B-LS-BZ 003,,t,t,t,f,f
489,B-LS-CB 019,B-LS-CH 010,,t,t,f,f,f
490,B-LS-CH 038,B-LS-BZ 005,,t,f,f,f,f
491,B-LS-CH 038,B-LS-CH 003,,t,t,t,t,t
492,B-LS-CH 038,B-LS-CH 008,,t,t,t,t,f
493,B-LS-CH 038,B-LS-CH 009,,t,f,f,t,f
494,B-LS-BZ 029,B-LS-BZ 026,,t,t,t,t,t
495,B-LS-BZ 029,B-LS-BZ 014,,t,t,t,t,t
496,B-LS-CB 021,B-LS-PT 001,,t,t,t,t,t
497,B-LS-CB 021,B-LS-CB 003,,f,t,f,f,f
498,B-LS-CB 021,B-LS-CB 031,,t,t,t,t,t
499,B-LS-CB 021,B-LS-CB 022,,f,f,f,f,t
500,B-LS-CB 021,B-LS-CB 024,,t,t,t,t,t
501,B-LS-MT 006,B-LS-KT 039,,t,t,t,t,t
502,B-LS-MT 006,B-LS-KT 027,,t,t,f,t,t
503,B-LS-MT 006,B-LS-KT 022,,t,t,t,t,t
504,B-LS-MT 006,B-LS-KT 012,,t,t,f,f,t
505,B-LS-BZ 030,B-LS-PT 004,,t,t,t,t,t
506,B-LS-BZ 030,B-LS-BZ 014,,t,t,t,t,t
507,B-LS-BZ 030,B-LS-BZ 020,,t,t,t,t,t
508,B-LS-MT 024,B-LS-BZ 043,,t,t,t,t,t
509,B-LS-MT 024,B-LS-BZ 001,,t,t,t,t,t
510,B-LS-MT 024,B-LS-MT 001,,t,t,t,t,t
511,B-LS-MT 025,B-LS-BZ 043,,t,t,t,t,t
512,B-LS-MT 025,B-LS-MT 004,,t,t,t,t,t
513,B-LS-MT 025,B-LS-BZ 001,,t,t,t,t,t
514,B-LS-MT 025,B-LS-MT 015,,t,t,t,t,t
516,B-LS-CB 022,B-LS-CH 001,,f,f,t,f,f
517,B-LS-CB 022,B-LS-PT 001,,f,f,f,t,f
518,B-LS-CB 022,B-LS-BZ 022,,f,f,t,t,t
519,B-LS-CB 022,B-LS-MT 007,,f,t,f,f,f
520,B-LS-CB 022,B-LS-CH 010,,t,t,t,t,t
521,B-LS-CB 022,B-LS-CB 031,,t,t,t,t,t
522,B-LS-CB 022,B-LS-CB 019,,f,f,t,f,f
523,B-LS-CB 022,B-LS-CB 024,,t,t,t,t,t
524,B-LS-CB 023,B-LS-CB 016,,t,t,t,t,t
525,B-LS-CB 023,B-LS-CB 022,,t,t,t,t,t
526,B-LS-BZ 031,B-LS-BZ 043,,t,t,t,t,t
527,B-LS-BZ 031,B-LS-BZ 010,,t,t,t,t,t
528,B-LS-BZ 020,B-LS-BZ 043,,t,f,f,f,f
529,B-LS-BZ 020,B-LS-PT 004,,t,t,f,f,f
530,B-LS-BZ 020,B-LS-BZ 010,,f,t,f,f,f
531,B-LS-UT 013,B-LS-UT 027,,t,t,t,t,t
532,B-LS-UT 013,B-LS-UT 020,,t,t,t,t,t
44,B-LS-UT 014,B-LS-UT 008,,t,t,f,t,t
533,B-LS-UT 014,B-LS-BZ 020,,t,t,t,t,t
534,B-LS-UT 016,B-LS-UT 009,,f,t,f,f,f
535,B-LS-UT 016,B-LS-UT 024,,f,f,t,t,f
536,B-LS-UT 016,B-LS-UT 005,,t,t,f,f,f
537,B-LS-UT 017,B-LS-UT 024,,f,f,t,f,f
538,B-LS-UT 017,B-LS-UT 005,,t,t,t,t,t
539,B-LS-UT 017,B-LS-UT 021,,f,t,t,f,f
540,B-LS-UT 017,B-LS-UT 025,,f,f,t,t,f
541,B-LS-UT 026,B-LS-UT 023,,t,t,t,t,t
543,B-LS-UT 026,B-LS-UT 025,,t,t,t,t,t
544,B-LS-CB 027,B-LS-KT 039,,t,t,t,t,t
545,B-LS-CB 027,B-LS-CH 010,,t,t,t,t,t
546,B-LS-CB 027,B-LS-CB 009,,t,t,t,t,t
547,B-LS-CB 027,B-LS-CB 022,,t,t,t,t,t
548,B-LS-CB 027,B-LS-CB 024,,t,t,t,f,f
549,B-LS-PT 021,B-LS-PT 008,,t,t,t,t,t
551,B-LS-MI 013,B-LS-MI 001,,t,t,t,t,t
552,B-LS-MI 013,B-LS-MI 007,,t,t,t,t,t
553,B-LS-MI 012,B-LS-MI 001,,t,t,t,t,t
554,B-LS-MI 012,B-LS-MI 007,,t,t,t,t,t
555,B-LS-CB 028,B-LS-BZ 017,,t,t,t,t,t
556,B-LS-CB 028,B-LS-BZ 010,,t,t,t,t,t
558,B-LS-MI 003,B-LS-MI 007,,t,t,t,t,t
559,B-LS-MT 021,B-LS-MT 006,,t,t,t,t,f
561,B-LS-MT 021,B-LS-KT 012,,t,t,t,t,t
560,B-LS-MT 021,B-LS-KT 022,,t,t,t,t,f
371,B-LS-PT 027,B-LS-CH 005,,t,t,t,t,t
557,B-LS-MI 011,B-LS-MI 002,,f,f,t,f,f
562,B-LS-MT 001,B-LS-KT 028,,t,t,t,t,t
563,B-LS-MT 001,B-LS-KT 004,,t,t,t,t,t
564,B-LS-MT 001,B-LS-KT 027,,t,t,t,t,t
462,B-LS-CB 017,B-LS-CB 002a,,t,f,f,f,f
567,B-LS-MI 006,B-LS-MI 002,,t,t,t,t,t
570,B-LS-MT 026,B-LS-MT 022,,t,t,t,t,t
572,B-LS-MT 026,B-LS-MT 019,,t,t,t,t,t
573,B-LS-MT 025,B-LS-MT 024,,t,t,t,t,t
574,B-LS-MT 020,B-LS-MT 013,,t,t,t,t,t
575,B-LS-UT 006,B-LS-UT 003,,t,t,t,t,t
576,B-LS-UT 007,B-LS-UT 003,,t,t,t,t,t
568,B-LS-UT 018,B-LS-UT 017,,t,t,t,f,f
577,B-LS-UT 018,B-LS-UT 021,,f,f,t,f,f
578,B-LS-CH 046,B-LS-CH 005,,t,t,t,t,f
156,B-LS-KT 008,B-LS-KT 004,"Studienrichtungen: BZ, CH, UT, PT",t,t,t,t,t
157,B-LS-KT 008,B-LS-KT 028,"Studienrichtungen: BZ, CH, UT, PT",t,t,t,t,t
579,B-LS-KT 005,,mindestens 3 Semester Life Science Studium abgeschlossen,t,t,t,t,t
580,B-LS-KT 005,,Freude und Motivation an einer TutorInnentätigkeit,t,t,t,t,t
581,B-LS-KT 011,,Module des 4. Semesters abgeschlossen,t,t,t,t,t
409,B-LS-MT 026,B-LS-MT 014,paralleler Besuch,t,t,t,t,t
569,B-LS-MT 026,B-LS-MT 025,paralleler Besuch,t,t,t,t,t
582,B-LS-PT 004,B-LS-KT 039,,t,t,t,t,t
