"id_spezialisierung","laufnummer","pflicht"
"2","B-LS-CH 018","t"
"2","B-LS-BZ 001","f"
"2","B-LS-KT 008","f"
"2","B-LS-CH 015","f"
"2","B-LS-CH 028","f"
"2","B-LS-KT 014","f"
"2","B-LS-KT 026","f"
"2","B-LS-BZ 044","f"
"2","B-LS-CH 030","t"
"2","B-LS-CH 036","t"
"2","B-LS-CH 019","t"
"2","B-LS-CH 038","f"
"2","B-LS-CH 025","t"
"2","B-LS-CH 027","t"
"2","B-LS-CH 039","f"
"2","B-LS-CH 043","f"
"2","B-LS-CH 029","t"
"2","B-LS-CH 044","f"
"2","B-LS-CH 022","t"
"2","B-LS-BZ 045","f"
"14","B-LS-MI 014","f"
"14","B-LS-MI 017","f"
"14","B-LS-MT 006","f"
"14","B-LS-MT 003","f"
"14","B-LS-MT 001","f"
"14","B-LS-MT 009","f"
"14","B-LS-MT 002","f"
"14","B-LS-MT 012","f"
"14","B-LS-MT 014","f"
"14","B-LS-MT 017","f"
"14","B-LS-MT 019","f"
"14","B-LS-MT 004","f"
"14","B-LS-MT 020","f"
"14","B-LS-MT 025","f"
"14","B-LS-MI 009","f"
"14","B-LS-MT 005","f"
"14","B-LS-MT 028","f"
"14","B-LS-MT 029","f"
"14","B-LS-MT 007","f"
"14","B-LS-KT 014a","f"
"14","B-LS-MI 006","f"
"14","B-LS-MT 018","f"
"14","B-LS-MT 026","f"
"14","B-LS-MT 027","f"
"14","B-LS-KT 027","f"
"14","B-LS-KT 012","f"
"14","B-LS-KT 016","f"
"14","B-LS-MI 002","f"
"14","B-LS-MT 015","f"
"14","B-LS-MT 030","f"
"14","B-LS-KT 029","f"
"14","B-LS-MT 30","f"
"14","B-LS-KT 039","f"
"14","B-LS-CH 047","f"
"14","B-LS-MI 001","f"
"14","B-LS-BZ 001","f"
"14","B-LS-BZ 043","f"
"14","B-LS-BZ 003","f"
"14","B-LS-MT 023","f"
"14","B-LS-KT 022","f"
"14","B-LS-MT 022","f"
"14","B-LS-KT 002","f"
"14","B-LS-MT 013","f"
"14","B-LS-MT 024","f"
"14","B-LS-KT 026","f"
"14","B-LS-KT 023","f"
"14","B-LS-KT 036","f"
"14","B-LS-KT 013","f"
"14","B-LS-MT 021","f"
"14","B-LS-MT 008","f"
"7","B-LS-CB 024","f"
"7","B-LS-UT 030","f"
"7","B-LS-KT 016","f"
"6","B-LS-CB 024","f"
"6","B-LS-UT 030","f"
"6","B-LS-KT 016","f"
"6","B-LS-KT 002a","f"
"6","B-LS-KT 008","f"
"6","B-LS-KT 029a","f"
"6","B-LS-KT 036","f"
"6","B-LS-KT 014","f"
"6","B-LS-CH 005","f"
"6","B-LS-KT 007","f"
"6","B-LS-UT 032","f"
"6","B-LS-KT 039","f"
"6","B-LS-KT 011","f"
"6","B-LS-KT 025","f"
"6","B-LS-MI 001","f"
"6","B-LS-UT 001","f"
"6","B-LS-BZ 019","f"
"6","B-LS-UT 30","f"
"6","B-LS-UT 023","f"
"6","B-LS-CH 001","f"
"6","B-LS-UT 005","f"
"6","B-LS-UT 003","f"
"6","B-LS-UT 019","f"
"6","B-LS-UT 009","f"
"6","B-LS-UT 015","f"
"6","B-LS-UT 021","f"
"6","B-LS-BZ 009","f"
"6","B-LS-UT 018","f"
"6","B-LS-UT 024","f"
"6","B-LS-UT 012","f"
"6","B-LS-BZ 003","f"
"6","B-LS-UT 025","f"
"6","B-LS-UT 029","f"
"6","B-LS-UT 020","f"
"6","B-LS-MI 002a","f"
"6","B-LS-UT 027","f"
"6","B-LS-UT 004","f"
"6","B-LS-BZ 013","f"
"6","B-LS-UT 017","f"
"6","B-LS-UT 008","f"
"6","B-LS-BZ 022","f"
"6","B-LS-MT 007","f"
"6","B-LS-UT 014","f"
"6","B-LS-UT 016","f"
"6","B-LS-UT 006","f"
"6","B-LS-UT 007","f"
"6","B-LS-UT 011","f"
"6","B-LS-UT 013","f"
"5","B-LS-MT 007","f"
"5","B-LS-PT 001","f"
"15","B-LS-BZ 001","f"
"15","B-LS-BZ 003","f"
"15","B-LS-BZ 007","f"
"15","B-LS-BZ 034","f"
"15","B-LS-BZ 043","f"
"15","B-LS-BZ 045","f"
"15","B-LS-CB 017","f"
"15","B-LS-CH 001","f"
"15","B-LS-CH 004","f"
"15","B-LS-CH 046","f"
"15","B-LS-KT 002","f"
"15","B-LS-KT 004","f"
"15","B-LS-KT 008","f"
"15","B-LS-KT 010","f"
"15","B-LS-KT 011","f"
"15","B-LS-KT 012","f"
"15","B-LS-KT 013","f"
"15","B-LS-KT 014","f"
"15","B-LS-KT 016","f"
"15","B-LS-KT 028","f"
"15","B-LS-KT 029","f"
"15","B-LS-KT 036a","f"
"15","B-LS-KT 039","f"
"15","B-LS-MI 001","f"
"15","B-LS-MI 002a","f"
"15","B-LS-MT 001","f"
"15","B-LS-PT 001","f"
"15","B-LS-PT 002","f"
"15","B-LS-PT 003","f"
"15","B-LS-PT 004","f"
"15","B-LS-PT 005","f"
"15","B-LS-PT 006","f"
"15","B-LS-PT 007","f"
"15","B-LS-PT 008","f"
"15","B-LS-PT 009","f"
"15","B-LS-PT 010","f"
"15","B-LS-PT 011","f"
"15","B-LS-PT 012","f"
"15","B-LS-PT 013","f"
"15","B-LS-PT 014b","f"
"15","B-LS-PT 015","f"
"15","B-LS-PT 017","f"
"15","B-LS-PT 018","f"
"15","B-LS-PT 019","f"
"15","B-LS-PT 021","f"
"15","B-LS-PT 022","f"
"15","B-LS-PT 024","f"
"15","B-LS-PT 026","f"
"15","B-LS-PT 027","f"
"15","B-LS-PT 30","f"
"15","B-LS-UT 005","f"
"4","B-LS-KT 012","f"
"4","B-LS-KT 008","f"
"4","B-LS-CB 009","f"
"4","B-LS-CB 027","f"
"4","B-LS-CH 013","f"
"4","B-LS-CB 016","t"
"4","B-LS-CB 007","t"
"4","B-LS-CB 008","t"
"4","B-LS-KT 024","f"
"4","B-LS-CB 031","f"
"4","B-LS-KT 029","f"
"4","B-LS-CB 030","f"
"4","B-LS-CB 029","f"
"4","B-LS-KT 016","f"
"4","B-LS-CB 001","f"
"4","B-LS-CB 002a","f"
"4","B-LS-KT 036a","f"
"4","B-LS-CB 025","f"
"4","B-LS-CB 026","f"
"4","B-LS-MI 001a","f"
"4","B-LS-KT 039","f"
"4","B-LS-CH 026","f"
"4","B-LS-MI 002","f"
"4","B-LS-KT 023","f"
"4","B-LS-CB 022","t"
"4","B-LS-CB 019","f"
"4","B-LS-CB 012","f"
"4","B-LS-CB 021","f"
"4","B-LS-CB 023","t"
"4","B-LS-KT 022","f"
"4","B-LS-KT 027","f"
"4","B-LS-CB 017","f"
"4","B-LS-CB 024","f"
"4","B-LS-CH 011","t"
"4","B-LS-CH 010","f"
"4","B-LS-CB 013","f"
"4","B-LS-CB 011","f"
"4","B-LS-CB 014","f"
"4","B-LS-CH 012","f"
"4","B-LS-CB 30","f"
"4","B-LS-CH 001","t"
"4","B-LS-MT 011","f"
"4","B-LS-MT 007","f"
"4","B-LS-PT 001","f"
"4","B-LS-KT 014","f"
"4","B-LS-PT 009","f"
"4","B-LS-PT 012","f"
"3","B-LS-KT 029a","f"
"3","B-LS-KT 002a","f"
"2","B-LS-BZ 015","f"
"2","B-LS-CH 032","f"
"2","B-LS-CH 041","f"
"2","B-LS-CH 30","f"
"3","B-LS-KT 007","f"
"3","B-LS-KT 028","f"
"3","B-LS-MI 002a","f"
"3","B-LS-MI 004","f"
"3","B-LS-KT 039","f"
"3","B-LS-CH 010","f"
"3","B-LS-CH 002","f"
"3","B-LS-CH 012","f"
"3","B-LS-CH 014","f"
"3","B-LS-CH 013","f"
"3","B-LS-CH 008","f"
"3","B-LS-BZ 017","f"
"3","B-LS-KT 004","f"
"3","B-LS-BZ 007","f"
"3","B-LS-CH 011","f"
"3","B-LS-CH 009","t"
"3","B-LS-CH 017","f"
"3","B-LS-BZ 001","f"
"3","B-LS-KT 008","f"
"3","B-LS-CH 015","f"
"3","B-LS-KT 014","f"
"3","B-LS-KT 026","f"
"3","B-LS-BZ 044","f"
"3","B-LS-CH 036","t"
"3","B-LS-CH 038","t"
"3","B-LS-CH 027","f"
"3","B-LS-CH 039","f"
"3","B-LS-CH 043","f"
"3","B-LS-CH 026","f"
"3","B-LS-CH 020","f"
"3","B-LS-CH 024","t"
"3","B-LS-CH 044","f"
"3","B-LS-CH 023","t"
"3","B-LS-CH 022","f"
"3","B-LS-CH 035","t"
"3","B-LS-CH 034","t"
"3","B-LS-BZ 045","f"
"3","B-LS-CH 033","f"
"3","B-LS-CH 032","t"
"3","B-LS-CH 041","f"
"3","B-LS-CH 30","f"
"5","B-LS-KT 014","f"
"5","B-LS-PT 009","f"
"5","B-LS-PT 012","f"
"5","B-LS-KT 003","f"
"5","B-LS-PT 014a","f"
"5","B-LS-BZ 013","t"
"5","B-LS-BZ 017","t"
"5","B-LS-BZ 022","f"
"5","B-LS-BZ 010","t"
"7","B-LS-KT 029a","f"
"7","B-LS-CB 010","f"
"7","B-LS-KT 036","f"
"7","B-LS-KT 014","f"
"7","B-LS-KT 013","f"
"7","B-LS-CH 004","f"
"7","B-LS-KT 007","f"
"7","B-LS-KT 028","f"
"7","B-LS-UT 032","f"
"7","B-LS-KT 039","f"
"7","B-LS-KT 024","f"
"7","B-LS-KT 011","f"
"7","B-LS-MI 001","f"
"7","B-LS-UT 001","f"
"7","B-LS-UT 30","f"
"7","B-LS-UT 023","f"
"7","B-LS-KT 033","f"
"7","B-LS-CH 001","f"
"7","B-LS-UT 005","f"
"7","B-LS-UT 003","f"
"7","B-LS-UT 019","f"
"7","B-LS-UT 009","f"
"7","B-LS-UT 015","f"
"7","B-LS-BZ 009","f"
"7","B-LS-UT 018","f"
"7","B-LS-UT 024","f"
"7","B-LS-UT 025","f"
"7","B-LS-UT 029","f"
"7","B-LS-UT 020","f"
"7","B-LS-MI 002a","f"
"7","B-LS-UT 027","f"
"7","B-LS-BZ 013","f"
"7","B-LS-UT 017","f"
"7","B-LS-UT 008","f"
"7","B-LS-BZ 022","f"
"7","B-LS-UT 026","f"
"7","B-LS-MT 006","f"
"7","B-LS-UT 002","f"
"6","B-LS-UT 028","f"
"6","B-LS-UT 022","f"
